Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
7:30 am – 1:15 am +2,"Air Canada, Singapore Airlines",SAN‐SIN,26h45m,2,"YVR, NRT",11:55 pm – 6:33 pm +1,"Singapore Airlines, Air Canada",SIN‐SAN,33h38m,2,"NRT, YVR",1210,20220404-1809,cheap
7:30 am – 12:35 am +2,Air Canada,SAN‐SIN,26h05m,2,"YVR, NRT",11:55 pm – 6:33 pm +1,"Singapore Airlines, Air Canada",SIN‐SAN,33h38m,2,"NRT, YVR",1215,20220404-1809,cheap
8:15 am – 12:20 am +2,"Alaska Airlines, Japan Airlines",SAN‐SIN,25h05m,2,"SFO, NRT",8:10 am – 8:07 am +1,"Japan Airlines, Alaska Airlines",SIN‐SAN,38h57m,2,"NRT, DFW",1398,20220404-1809,cheap
1:15 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,20h05m,1,NRT,8:10 am – 11:58 pm,"Japan Airlines, Alaska Airlines",SIN‐SAN,30h48m,2,"NRT, SFO",1414,20220404-1809,cheap
8:15 am – 12:20 am +2,Japan Airlines,SAN‐SIN,25h05m,2,"SFO, NRT",8:10 am – 11:58 pm,"Japan Airlines, Alaska Airlines",SIN‐SAN,30h48m,2,"NRT, SFO",1418,20220404-1809,cheap
1:15 pm – 12:20 am +2,American Airlines,SAN‐SIN,20h05m,1,NRT,8:10 am – 8:07 am +1,American Airlines,SIN‐SAN,38h57m,2,"NRT, DFW",1458,20220404-1809,cheap
1:15 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,20h05m,1,NRT,8:10 am – 4:02 pm,"Japan Airlines, Alaska Airlines",SIN‐SAN,22h52m,2,"NRT, SFO",1464,20220404-1809,cheap
1:15 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,20h05m,1,NRT,8:10 am – 9:45 pm,"Japan Airlines, Alaska Airlines",SIN‐SAN,28h35m,2,"NRT, SFO",1464,20220404-1809,cheap
1:15 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,20h05m,1,NRT,8:10 am – 5:42 pm,"Japan Airlines, Alaska Airlines",SIN‐SAN,24h32m,2,"NRT, SFO",1496,20220404-1809,cheap
1:15 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,20h05m,1,NRT,8:10 am – 6:57 pm,"Japan Airlines, Alaska Airlines",SIN‐SAN,25h47m,2,"NRT, SFO",1496,20220404-1809,cheap
